reviewId,content,score,gender,location,date
931571b9-ccd0-4049-bfe5-19d19080e049,"In my experience, i lose track of time scrolling on TikTok. It makes the experience less enjoyable.",1,male,"Riyadh, Saudi Arabia",2017-03-31
d9f8b698-68fb-4013-ab28-95695d5c6cb9,One issue is that it feels very addictive. It gets frustrating after a while.,1,male,"Paris, France",2016-10-19
063b6a2e-6639-4750-a6b6-8b9ed3720354,One issue is that i keep seeing the same trends repeatedly.,1,male,"Monterrey, Mexico",2018-01-12
60de1337-b29b-456f-ab26-3d4aae474682,The main problem is that some videos get views randomly while others don’t. It makes it harder to stay focused.,1,male,"Lima, Peru",2018-10-04
ed0f242d-bb9b-4b4d-b7fa-a097290b16a2,"So far, the comment sections can be very toxic. It becomes overwhelming.",1,male,"Johannesburg, South Africa",2017-11-29
ad71201f-3b9a-4ffb-9a10-d6b9d0190ea1,"For me, i’m concerned about data privacy. It makes it harder to stay focused.",1,male,"Seattle, United States",2018-02-04
15aa7c54-6f2c-495d-a0ee-f22bcdc14ab6,"In my experience, there are too many ads and promotions. It becomes overwhelming.",1,male,"Marseille, France",2016-10-12
1a881d1e-69d5-4092-bfaf-55c331b54e4d,One issue is that it’s hard to focus after using it. It becomes overwhelming.,1,male,"Denver, United States",2018-02-06
edfe2679-86c8-4b1f-bb8f-04b5761a8d83,"So far, there’s too much content to keep up with.",1,female,"Gold Coast, Australia",2019-05-12
41d53a61-724e-41bd-92f7-30a1aa8a10fe,One issue is that content quality varies a lot. It makes it harder to stay focused.,1,male,"Quito, Ecuador",2019-02-09
85cd6f4c-9c35-4979-aa6f-e0808bd1cd75,One issue is that i lose track of time scrolling on TikTok. That part could definitely be improved.,1,male,"Brasília, Brazil",2018-10-09
28d56d41-88d5-4f6d-87aa-82a36164c757,"Honestly, it feels very addictive. It makes the experience less enjoyable.",1,male,"Lyon, France",2017-01-18
7e73cb6a-9fe3-46b0-903b-dacbb3f67207,"I wanted to like it, but i keep seeing the same trends repeatedly. That part could definitely be improved.",1,female,"Canberra, Australia",2019-03-25
8e7334b0-fb1b-43ad-ac37-e2ff2499068d,What bothers me is that some videos get views randomly while others don’t. It gets frustrating after a while.,1,male,"Port Moresby, Papua New Guinea",2019-02-15
4c3c6bbe-6bb9-48ce-b414-d567f2e0e4f4,"Honestly, the comment sections can be very toxic.",1,male,"Singapore, Singapore",2017-03-16
